id,type,experiment,knowledge,difficulty,question,option_a,option_b,option_c,option_d,answer,blank_count,fill_hint,explanation,keywords,source,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
qPS003,fill,光敏元件的光电特性研究,光电二极管,2,光电二极管在使用时，通常需要加______偏置电压，以提高其响应速度和灵敏度。,,,,,反向,1.0,填写偏置类型,光电二极管是基于光生伏特效应的光敏元件，当加反向偏置电压时，反向饱和电流随光照强度的增大而增大，且反向偏置可以减小结电容，提高光电二极管的响应速度和灵敏度，因此光电二极管通常在反向偏置状态下使用。,光电二极管;反向偏置;响应速度;灵敏度,实验讲义PDF,,,,
qPS004,choice,光敏元件的光电特性研究,光电特性,3,下列关于光敏元件的光电特性，说法错误的是：,光敏元件的响应时间越短，对光信号的变化响应越快,光敏元件的灵敏度越高，对微弱光信号的检测能力越强,光敏元件的线性度越好，输出电信号与光照强度的线性关系越差,光敏元件的暗电流越小，在无光照时的输出噪声越小,C,,,线性度是衡量光敏元件输出电信号与光照强度线性关系的指标，线性度越好，输出与输入的线性关系越好，测量误差越小；其他选项都是光敏元件光电特性的正确描述。,光敏元件;光电特性;线性度;灵敏度;响应时间,实验讲义PDF,,,,
qPS005,fill,光敏元件的光电特性研究,光谱特性,1,光敏元件的光谱特性是指其灵敏度随______的变化关系，不同的光敏元件对不同波长的光的响应灵敏度不同。,,,,,入射光波长,1.0,填写变量,光谱特性是光敏元件的重要特性之一，它描述了光敏元件的灵敏度随入射光波长的变化关系，不同的半导体材料制成的光敏元件，其光谱响应范围不同，例如硅基光敏元件的响应范围主要在可见光和近红外光区。,光敏元件;光谱特性;入射光波长;响应范围,实验讲义PDF,,,,
qC001,choice,电学混沌及其在保密通信中的应用,混沌现象,2,混沌现象的核心特征是：,确定性系统中的随机行为,随机系统中的确定性行为,线性系统中的周期行为,非线性系统中的平衡行为,A,,,"混沌现象是指在确定性的非线性系统中，出现的貌似随机、不可预测的行为，它对初始条件具有极度的敏感性，即初始条件的微小变化会导致系统行为的巨大差异，也就是所谓的""蝴蝶效应""。",混沌现象;确定性系统;非线性;蝴蝶效应,实验讲义PDF,,,,
qC002,choice,电学混沌及其在保密通信中的应用,混沌电路,1,下列哪个电路是典型的电学混沌电路？,RC振荡电路,LC振荡电路,蔡氏电路,整流滤波电路,C,,,蔡氏电路是由蔡少棠教授于1983年提出的，是第一个能够产生混沌现象的自治非线性电子电路，它由一个线性电感、两个线性电容、一个线性电阻和一个非线性电阻（蔡氏二极管）组成，是电学混沌实验中最常用的电路之一。,混沌电路;蔡氏电路;非线性电路,实验讲义PDF,,,,
qC003,fill,电学混沌及其在保密通信中的应用,混沌同步,2,混沌同步是指两个或多个混沌系统在一定的耦合条件下，它们的______随时间的演化趋于一致的现象。,,,,,状态变量,1.0,填写系统变量,混沌同步是混沌应用的基础，它是指两个或多个结构相同或相似的混沌系统，在一定的耦合作用下，它们的状态变量随时间的演化趋于一致，即使系统的初始条件不同，也能实现同步，这一特性被广泛应用于混沌保密通信中。,混沌同步;状态变量;耦合系统,实验讲义PDF,,,,
qC004,choice,电学混沌及其在保密通信中的应用,混沌保密通信,3,混沌保密通信的核心原理是：,利用混沌信号的不可预测性，将信息信号隐藏在混沌信号中进行传输,利用混沌信号的周期性，将信息信号调制到混沌信号上进行传输,利用混沌信号的线性特性，将信息信号与混沌信号叠加进行传输,利用混沌信号的可预测性，将信息信号编码到混沌信号中进行传输,A,,,混沌保密通信的核心原理是，利用混沌信号的确定性、不可预测性、对初始条件的敏感性等特性，将需要传输的信息信号通过混沌调制、混沌掩盖等方式，隐藏在混沌信号中进行传输，在接收端通过混沌同步技术，从混沌信号中恢复出原始的信息信号，实现保密通信。,混沌保密通信;混沌掩盖;混沌调制;混沌同步,实验讲义PDF,,,,
qC005,fill,电学混沌及其在保密通信中的应用,李雅普诺夫指数,1,______是衡量混沌系统对初始条件敏感性的重要指标，当该指标大于零时，系统表现出混沌行为。,,,,,李雅普诺夫指数,1.0,填写指标名称,李雅普诺夫指数是描述混沌系统动力学特性的重要指标，它衡量了系统中相邻轨道的平均指数发散率，当系统的最大李雅普诺夫指数大于零时，说明系统对初始条件具有敏感性，相邻轨道会随时间指数发散，系统表现出混沌行为。,混沌系统;李雅普诺夫指数;初始条件敏感性,实验讲义PDF,,,,
qE001,choice,用模拟法测绘静电场,模拟法原理,2,用模拟法测绘静电场的核心原理是：,静电场和恒定电流场的数学规律相似,静电场和磁场的数学规律相似,静电场和交变电场的数学规律相似,静电场和引力场的数学规律相似,A,,,静电场和恒定电流场都遵循高斯定理和环路定理，在均匀介质中，它们的电势分布都满足拉普拉斯方程，数学规律完全相似，因此可以用容易测量的恒定电流场来模拟难以测量的静电场，这就是模拟法测绘静电场的核心原理。,模拟法;静电场;恒定电流场;拉普拉斯方程,实验讲义PDF,,,,
qE002,choice,用模拟法测绘静电场,实验装置,1,在模拟法测绘静电场实验中，用来模拟静电场中电极的是：,绝缘材料制成的电极,导电材料制成的电极,半导体材料制成的电极,以上都可以,B,,,在模拟法实验中，需要用导电材料制成的电极，放在导电介质中，接在电源上，形成恒定电流场，来模拟静电场中的带电导体电极，因为只有导电电极才能在导电介质中形成稳定的恒定电流场。,模拟法;静电场;电极;导电材料,实验讲义PDF,,,,
qE003,fill,用模拟法测绘静电场,等势线,2,在静电场中，电场强度的方向总是与等势线______，且由高电势指向低电势。,,,,,垂直,1.0,填写位置关系,在静电场中，电场强度E与电势U的关系为E=-?U，即电场强度的方向是电势降低最快的方向，因此电场强度的方向总是与等势线垂直，且由高电势指向低电势。,静电场;等势线;电场强度;垂直,实验讲义PDF,,,,
qE004,choice,用模拟法测绘静电场,电场线,3,下列关于电场线的说法，错误的是：,电场线的切线方向表示该点的电场强度方向,电场线的疏密程度表示该点的电场强度大小,电场线可以相交,电场线起始于正电荷，终止于负电荷,C,,,电场线的切线方向表示该点的电场强度方向，如果两条电场线相交，那么在交点处就会有两个切线方向，即该点的电场强度有两个方向，这是不可能的，因此电场线永远不会相交；其他选项都是电场线的正确性质。,静电场;电场线;电场强度;相交,实验讲义PDF,,,,
qE005,fill,用模拟法测绘静电场,实验要求,1,在模拟法测绘静电场实验中，为了保证测量的准确性，必须保证导电介质的______均匀，且电极与导电介质接触良好。,,,,,电导率,1.0,填写介质参数,模拟法的前提是恒定电流场的分布与静电场相似，这就要求导电介质的电导率必须均匀，否则恒定电流场的分布会发生畸变，无法准确模拟静电场；同时，电极与导电介质必须接触良好，避免接触电阻影响电流场的分布。,模拟法;静电场;导电介质;电导率,实验讲义PDF,,,,
qM006,choice,迈克尔孙干涉仪实验,干涉条纹移动,2,在迈克尔孙干涉仪实验中，若观察到干涉条纹整体向视场中心收缩，说明动镜的移动方向是：,靠近分束镜,远离分束镜,向上移动,向下移动,A,,,当条纹向中心收缩时，说明两束光的光程差减小，动镜向分束镜方向移动，光程差减小，条纹向中心收缩。,迈克尔孙干涉仪;条纹移动;动镜移动方向,实验讲义PDF,,,,
qM007,choice,迈克尔孙干涉仪实验,补偿镜作用,3,迈克尔孙干涉仪中补偿镜的主要作用是：,提高激光的亮度,补偿两束光在玻璃中的光程差,过滤掉杂散光,调整激光的偏振方向,B,,,补偿镜与分束镜的厚度和折射率完全相同，用于补偿两束相干光在玻璃介质中传播的光程差，确保两束光的光程差仅由空气路径决定。,迈克尔孙干涉仪;补偿镜;光程差补偿,实验讲义PDF,,,,
qM008,fill,迈克尔孙干涉仪实验,条纹移动数,2,在迈克尔孙干涉仪实验中，动镜移动距离为0.5mm，激光波长为632.8nm，则观察到的干涉条纹移动数约为______。,,,,,1580,1.0,填写整数,根据公式d = N·(λ/2)，N = 2d/λ = 2*0.5e-3m / 632.8e-9m ≈ 1580。,迈克尔孙干涉仪;条纹移动数;波长计算,实验讲义PDF,,,,
qM009,choice,迈克尔孙干涉仪实验,等厚干涉,3,当迈克尔孙干涉仪的定镜和动镜不严格垂直，存在微小夹角时，观察到的干涉条纹是：,等倾干涉同心圆环,等厚干涉平行直条纹,双曲线形条纹,无规则条纹,B,,,当定镜和动镜存在微小夹角时，两束光的光程差随位置线性变化，形成等厚干涉的平行直条纹。,迈克尔孙干涉仪;等厚干涉;平行直条纹,实验讲义PDF,,,,
qM010,fill,迈克尔孙干涉仪实验,分束镜,1,迈克尔孙干涉仪的分束镜的核心作用是将一束入射光分为两束______相同的相干光。,,,,,强度,1.0,填写光学特性,分束镜的作用是将入射光分为两束强度相等的相干光，分别射向定镜和动镜，保证两束光的干涉对比度。,迈克尔孙干涉仪;分束镜;相干光,实验讲义PDF,,,,
qG006,choice,光栅衍射实验,衍射条纹,2,在光栅衍射实验中，下列关于衍射主极大条纹的描述正确的是：,级次越高，条纹越亮,级次越高，条纹间距越小,级次越高，条纹越窄,级次越高，条纹越宽,C,,,根据光栅衍射的特点，衍射级次越高，主极大条纹的角宽度越小，条纹越细越窄，亮度也会随级次升高而降低。,光栅衍射;主极大条纹;级次;条纹宽度,实验讲义PDF,,,,
qG007,choice,光栅衍射实验,光栅调节,1,在光栅衍射实验中，调节光栅平面与分光计主轴垂直的正确操作是：,只调节望远镜的俯仰螺丝,只调节平行光管的俯仰螺丝,调节载物台的调平螺丝,调节光栅的夹持螺丝,C,,,光栅平面与分光计主轴垂直的调节，需要通过调节载物台的调平螺丝，使光栅平面的法线与分光计主轴重合。,光栅衍射;光栅调节;载物台调平,实验讲义PDF,,,,
qG008,fill,光栅衍射实验,衍射角,2,用波长为500nm的光垂直入射到光栅常数为1μm的光栅上，第1级主极大的衍射角约为______度。,,,,,30,1.0,填写整数,根据光栅方程d·sinθ=kλ，sinθ=kλ/d=1*500e-9m/1e-6m=0.5，θ=30°。,光栅衍射;衍射角;光栅方程,实验讲义PDF,,,,
qG009,choice,光栅衍射实验,缺级现象,3,在光栅衍射实验中，若光栅的缝宽a与光栅常数d满足d=3a，则会出现缺级的级次是：,"±1,±2,±3...","±3,±6,±9...","±1,±3,±5...","±2,±4,±6...",B,,,"光栅衍射缺级的条件是d/a=k/k'，其中k为缺级的主极大级次，k'为单缝衍射的暗纹级次。当d=3a时，k=3k'，即±3,±6,±9...级次缺级。",光栅衍射;缺级现象;光栅常数;缝宽,实验讲义PDF,,,,
qG010,fill,光栅衍射实验,单缝衍射,1,光栅衍射的基础是单缝衍射和多缝______的叠加。,,,,,干涉,1.0,填写光学现象,光栅衍射是单缝衍射调制下的多缝干涉现象，每个缝的衍射光之间会发生干涉，形成主极大和极小条纹。,光栅衍射;单缝衍射;多缝干涉,实验讲义PDF,,,,
qP006,choice,光的偏振实验,偏振片作用,1,光的偏振实验中，偏振片的核心作用是：,提高光的亮度,产生线偏振光,改变光的波长,聚焦光线,B,,,偏振片只允许沿某一特定方向振动的光通过，从而将自然光转化为线偏振光，是偏振实验中最基础的元件。,光的偏振;偏振片;线偏振光,实验讲义PDF,,,,
qP007,choice,光的偏振实验,马吕斯定律,2,根据马吕斯定律，强度为I0的线偏振光入射到偏振片上，若偏振光的振动方向与偏振片的透振方向夹角为60°，则出射光的强度为：,I0/2,I0/4,3I0/4,I0/8,B,,,马吕斯定律的表达式为I=I0·cos2θ，其中θ为入射光振动方向与偏振片透振方向的夹角。当θ=60°时，cos260°=(1/2)2=1/4，因此I=I0/4。,光的偏振;马吕斯定律;出射光强度,实验讲义PDF,,,,
qP008,fill,光的偏振实验,布儒斯特定律,2,当自然光从空气入射到折射率为1.5的玻璃表面时，布儒斯特角约为______度。,,,,,56.3,1.0,填写数值,布儒斯特定律的表达式为tanθB=n2/n1，其中n1为入射介质折射率，n2为折射介质折射率。空气折射率n1=1，玻璃n2=1.5，因此tanθB=1.5，θB=arctan(1.5)≈56.3°。,光的偏振;布儒斯特定律;布儒斯特角,实验讲义PDF,,,,
qP009,choice,光的偏振实验,波片作用,3,在光的偏振实验中，1/4波片的主要作用是：,将线偏振光转化为圆偏振光,将圆偏振光转化为线偏振光,改变光的振动方向,提高光的偏振度,A,,,1/4波片可以使沿光轴和垂直光轴方向振动的两束线偏振光产生π/2的相位差，从而将线偏振光转化为圆偏振光（当入射光振动方向与光轴夹角为45°时）。,光的偏振;1/4波片;圆偏振光,实验讲义PDF,,,,
qP010,fill,光的偏振实验,偏振态,1,自然光的偏振态是______偏振，其各个方向的振动振幅相等。,,,,,无,1.0,填写偏振类型,自然光属于无偏振光，其光矢量在垂直于传播方向的平面内各个方向均匀分布，没有固定的振动方向。,光的偏振;自然光;无偏振,实验讲义PDF,,,,
qD006,choice,直流电桥实验,电桥平衡,1,直流电桥实验中，电桥达到平衡的条件是：,对臂电阻的乘积相等,相邻臂电阻的乘积相等,对臂电阻的和相等,相邻臂电阻的和相等,A,,,直流电桥（惠斯通电桥）的平衡条件是对臂电阻的乘积相等，即R1·R3=R2·Rx，其中Rx为待测电阻。,直流电桥;电桥平衡;惠斯通电桥,实验讲义PDF,,,,
qD007,choice,直流电桥实验,检流计作用,2,直流电桥实验中，检流计的主要作用是：,测量电路中的总电流,判断电桥是否达到平衡,调节电桥的平衡状态,提高电桥的测量精度,B,,,检流计是一种高灵敏度的电流计，用于检测电桥平衡时的微小电流，当检流计示数为零时，说明电桥达到了平衡状态。,直流电桥;检流计;电桥平衡判断,实验讲义PDF,,,,
qD008,fill,直流电桥实验,电阻测量,2,在惠斯通电桥实验中，已知比例臂R1=100Ω，R2=1000Ω，比较臂R3=500Ω，则待测电阻Rx的阻值为______Ω。,,,,,50,1.0,填写整数,根据电桥平衡条件R1·R3=R2·Rx，Rx=(R1·R3)/R2=(100Ω·500Ω)/1000Ω=50Ω。,直流电桥;惠斯通电桥;待测电阻计算,实验讲义PDF,,,,
qD009,choice,直流电桥实验,比例臂选择,3,在直流电桥实验中，为了提高测量精度，比例臂的选择原则是：,比例臂的比值越大越好,比例臂的比值越小越好,使比较臂的有效位数最多,使检流计的电流最大,C,,,比例臂的选择应使比较臂的有效位数最多，从而减小测量的相对误差，提高测量精度。通常根据待测电阻的大致阻值选择合适的比例臂比值。,直流电桥;比例臂;测量精度,实验讲义PDF,,,,
qD010,fill,直流电桥实验,电桥类型,1,本实验中使用的直流电桥，又称为______电桥，是最常用的直流电阻测量仪器。,,,,,惠斯通,1.0,填写人名,本实验使用的直流电桥为惠斯通电桥，由英国科学家惠斯通发明，是直流电阻测量中最经典、最常用的仪器。,直流电桥;惠斯通电桥;电阻测量,实验讲义PDF,,,,
qS006,choice,声速的测量,声速公式,1,在标准大气压下，空气中的声速v与温度t的关系公式是：,v=331+0.6t,v=331-0.6t,v=331+0.3t,v=331-0.3t,A,,,在标准大气压下，空气中的声速随温度升高而增大，经验公式为v=331+0.6t，其中t为摄氏温度，331m/s是0℃时空气中的声速。,声速测量;声速公式;温度关系,实验讲义PDF,,,,
qS007,choice,声速的测量,共振干涉法,2,用共振干涉法测量声速时，当接收换能器与发射换能器之间的距离为______时，会产生共振现象。,波长的整数倍,半波长的整数倍,四分之一波长的整数倍,八分之一波长的整数倍,B,,,共振干涉法中，发射换能器发出的声波与接收换能器反射的声波发生干涉，当两换能器之间的距离为半波长的整数倍时，产生共振，接收信号振幅达到极大值。,声速测量;共振干涉法;共振条件,实验讲义PDF,,,,
qS008,fill,声速的测量,波长计算,2,在声速测量实验中，测得共振时相邻两个极大值之间的距离为2.5cm，则声波的波长为______cm。,,,,,5,1.0,填写整数,共振干涉法中，相邻两个共振极大值之间的距离为λ/2，因此波长λ=2*2.5cm=5cm。,声速测量;共振干涉法;波长计算,实验讲义PDF,,,,
qS009,choice,声速的测量,相位比较法,3,用相位比较法测量声速时，下列说法正确的是：,只能通过李萨如图形判断相位差,当发射波和接收波的相位差为π的整数倍时，李萨如图形为直线,相位差与换能器之间的距离无关,相位比较法的测量精度低于共振干涉法,B,,,相位比较法中，当发射波和接收波的相位差为0或π的整数倍时，两个同频率垂直振动的合成李萨如图形为直线，可据此判断相位差，计算波长。,声速测量;相位比较法;李萨如图形,实验讲义PDF,,,,
qS010,fill,声速的测量,换能器,1,声速测量实验中，发射和接收声波的核心元件是______换能器，它可以实现电信号和声信号的相互转换。,,,,,压电,1.0,填写材料类型,本实验使用的是压电换能器，利用压电陶瓷的逆压电效应发射声波，正压电效应接收声波，实现电信号与声信号的相互转换。,声速测量;压电换能器;电声转换,实验讲义PDF,,,,
qE006,choice,用静态拉伸法测量材料的弹性模量,弹性模量定义,1,材料的弹性模量E的定义是：,应力与应变的比值,应变与应力的比值,拉力与伸长量的比值,伸长量与拉力的比值,A,,,弹性模量是描述材料弹性性质的物理量，定义为应力（单位面积所受的力）与应变（单位长度的伸长量）的比值，即E=σ/ε。,弹性模量;应力;应变;定义,实验讲义PDF,,,,
qE007,choice,用静态拉伸法测量材料的弹性模量,胡克定律,2,根据胡克定律，在弹性限度内，下列说法正确的是：,材料的伸长量与所受拉力成正比,材料的伸长量与所受拉力成反比,材料的应力与应变成反比,材料的弹性模量随拉力增大而增大,A,,,胡克定律指出，在弹性限度内，材料的伸长量ΔL与所受拉力F成正比，即F=k·ΔL，其中k为劲度系数。,弹性模量;胡克定律;伸长量;拉力,实验讲义PDF,,,,
qE008,fill,用静态拉伸法测量材料的弹性模量,弹性模量计算,2,某金属丝的长度L=1m，横截面积S=1mm2，受到F=100N的拉力时，伸长量ΔL=0.5mm，则该金属的弹性模量E约为______GPa。,,,,,200,1.0,填写整数,根据弹性模量公式E=(F·L)/(S·ΔL)，代入数值：F=100N，L=1m，S=1e-6m2，ΔL=0.5e-3m，计算得E=(100*1)/(1e-6*0.5e-3)=2e11Pa=200GPa。,弹性模量;计算公式;GPa,实验讲义PDF,,,,
qE009,choice,用静态拉伸法测量材料的弹性模量,实验操作,3,在静态拉伸法测量弹性模量实验中，下列操作错误的是：,实验前先将金属丝拉直，消除初弯曲,加砝码时要轻放，避免金属丝晃动,测量伸长量时，只需要测量一次即可,实验结束后，先取下砝码，再关闭仪器,C,,,为了减小测量误差，伸长量需要多次测量，取平均值，不能只测量一次。其他选项均为正确的实验操作。,弹性模量;实验操作;误差减小,实验讲义PDF,,,,
qE010,fill,用静态拉伸法测量材料的弹性模量,变形类型,1,本实验中，金属丝受到拉力作用时发生的变形是______变形，去除外力后变形可以完全恢复。,,,,,弹性,1.0,填写变形类型,在弹性限度内，材料受到外力作用时发生的变形为弹性变形，去除外力后，变形可以完全恢复，材料回到原始状态。,弹性模量;弹性变形;胡克定律,实验讲义PDF,,,,
qO006,choice,数字存储示波器的使用,示波器核心作用,1,数字存储示波器的核心功能是：,产生电信号,采集、显示并分析电信号,测量电路中的电阻值,放大电信号的功率,B,,,示波器是一种用于采集、显示、分析电信号的电子测量仪器，它可以将电信号的变化过程以波形的形式显示出来，是电子实验中最基础的仪器之一。,示波器;电信号;波形显示,实验讲义PDF,,,,
qO007,choice,数字存储示波器的使用,时基调节,2,示波器的时基（水平扫描速度）调节的是：,波形在垂直方向的幅度,波形在水平方向的时间刻度,输入信号的耦合方式,示波器的触发方式,B,,,示波器的时基调节的是水平方向的时间刻度，即每一格代表的时间长度，用于控制波形在水平方向的展开程度，测量信号的周期和频率。,示波器;时基;时间刻度;周期测量,实验讲义PDF,,,,
qO008,fill,数字存储示波器的使用,电压测量,2,示波器的垂直灵敏度设置为2V/div，测得波形的峰峰值为5格，则该信号的峰峰值电压为______V。,,,,,10,1.0,填写整数,信号的峰峰值电压=垂直灵敏度×峰峰值格数，即2V/div×5div=10V。,示波器;电压测量;垂直灵敏度;峰峰值,实验讲义PDF,,,,
qO009,choice,数字存储示波器的使用,触发方式,3,在示波器实验中，为了稳定显示周期性信号，最常用的触发方式是：,自动触发,正常触发,单次触发,外部触发,B,,,正常触发（边沿触发）是示波器最常用的触发方式，当输入信号的边沿达到设定的触发电平时，示波器开始扫描，从而稳定显示周期性信号的波形。,示波器;触发方式;正常触发;波形稳定,实验讲义PDF,,,,
qO010,fill,数字存储示波器的使用,耦合方式,1,示波器的输入耦合方式中，______耦合方式可以隔离输入信号中的直流分量，只显示交流分量。,,,,,交流,1.0,填写耦合类型,示波器的交流耦合方式通过电容隔离了输入信号中的直流分量，只允许交流分量通过，适用于测量叠加在直流信号上的交流小信号。,示波器;耦合方式;交流耦合;直流隔离,实验讲义PDF,,,,
qF006,choice,分光计的调整及使用,分光计核心作用,1,分光计的核心功能是：,测量发光物体的亮度,精确测量光线的偏转角度,放大物体的像,测量光的波长,B,,,分光计是一种精确测量光线偏转角度的光学仪器，可用于测量棱镜的顶角、折射率、光栅的衍射角等，是光学实验中最基础的测角仪器。,分光计;测角仪器;光线偏转角度,实验讲义PDF,,,,
qF007,choice,分光计的调整及使用,望远镜调节,2,在分光计调整实验中，调节望远镜聚焦于无穷远的正确操作是：,调节望远镜的物镜焦距,调节望远镜的目镜焦距，使十字叉丝清晰,调节平行光管的焦距,调节载物台的高度,B,,,望远镜聚焦于无穷远的调节步骤是：先调节目镜焦距，使十字叉丝清晰，然后将望远镜对准远处的物体，调节物镜焦距，使物体的像清晰，此时望远镜就聚焦于无穷远了。,分光计;望远镜调节;无穷远聚焦,实验讲义PDF,,,,
qF008,fill,分光计的调整及使用,最小偏向角,2,在分光计测量棱镜折射率实验中，测得棱镜的顶角A=60°，最小偏向角δm=30°，则该棱镜的折射率n约为______。,,,,,1.414,1.0,填写数值,棱镜折射率的计算公式为n=sin[(A+δm)/2]/sin(A/2)，代入数值：A=60°，δm=30°，则n=sin(45°)/sin(30°)=(√2/2)/(1/2)=√2≈1.414。,分光计;棱镜折射率;最小偏向角,实验讲义PDF,,,,
qF009,choice,分光计的调整及使用,平行光管调节,3,在分光计调整实验中，平行光管的作用是：,接收平行光，形成像,产生平行光，作为入射光源,调节光线的偏振方向,放大入射光的强度,B,,,平行光管的作用是产生平行光，作为分光计的入射光源，它由狭缝和准直透镜组成，当狭缝位于准直透镜的焦平面上时，出射光为平行光。,分光计;平行光管;平行光产生,实验讲义PDF,,,,
qF010,fill,分光计的调整及使用,刻度盘,1,分光计的刻度盘用于测量光线的偏转角度，其最小刻度值通常为______分。,,,,,1,1.0,填写整数,分光计的刻度盘通常分为360度，每度分为60分，最小刻度值为1分，可通过游标盘进行更精确的读数。,分光计;刻度盘;角度测量;最小刻度,实验讲义PDF,,,,
qT006,choice,大学物理实验理论课,测量误差,1,在物理实验中，测量误差分为系统误差和随机误差，下列属于系统误差的是：,实验环境温度的微小波动,仪器的零点漂移,观察者的视差,电源电压的微小变化,B,,,系统误差是由实验装置、实验方法、实验环境等固定因素引起的，在相同条件下重复测量时，误差的大小和符号保持不变。仪器的零点漂移属于系统误差，其他选项均为随机误差。,测量误差;系统误差;随机误差,实验讲义PDF,,,,
qT007,choice,大学物理实验理论课,有效数字,2,下列关于有效数字的说法正确的是：,有效数字的位数越多，测量精度越高,有效数字的位数与测量精度无关,小数点后的位数越多，有效数字位数越多,有效数字的最后一位是准确值,A,,,有效数字是指在测量中能够准确读出的数字，其位数反映了测量的精度，有效数字的位数越多，测量的精度越高。有效数字的最后一位是估读值，存在一定的误差。,有效数字;测量精度;估读值,实验讲义PDF,,,,
qT008,fill,大学物理实验理论课,误差计算,2,某长度测量值为L=10.00cm，绝对误差ΔL=0.05cm，则相对误差为______%。,,,,,0.5,1.0,填写数值,相对误差的计算公式为E=(ΔL/L)×100%，代入数值：ΔL=0.05cm，L=10.00cm，计算得E=(0.05/10.00)×100%=0.5%。,测量误差;相对误差;绝对误差,实验讲义PDF,,,,
qT009,choice,大学物理实验理论课,实验数据处理,3,在物理实验数据处理中，对于多次测量的结果，通常采用的处理方法是：,取最大值作为测量结果,取最小值作为测量结果,取算术平均值作为测量结果,取第一次测量值作为测量结果,C,,,对于多次测量的结果，通常采用算术平均值作为测量结果，因为算术平均值可以减小随机误差的影响，是最接近真实值的测量结果。,实验数据处理;多次测量;算术平均值,实验讲义PDF,,,,
qT010,fill,大学物理实验理论课,实验方法,1,在物理实验中，通过改变多个因素中的一个，保持其他因素不变，来研究该因素对实验结果的影响，这种方法称为______法。,,,,,控制变量,1.0,填写实验方法,控制变量法是物理实验中最常用的研究方法之一，通过控制其他因素不变，只改变一个因素，来研究该因素对实验结果的影响，从而排除其他因素的干扰。,实验方法;控制变量法;物理实验,实验讲义PDF,,,,
qL006,choice,力学传感器及其应用,传感器核心作用,1,力学传感器的核心功能是：,将力学量转换为电信号,将电信号转换为力学量,放大力学信号的强度,测量电路中的电流值,A,,,力学传感器是一种将力学量（如力、位移、加速度等）转换为可测量的电信号的装置，是力学实验中实现非电量电测的核心元件。,力学传感器;非电量电测;力学量转换,实验讲义PDF,,,,
qL007,choice,力学传感器及其应用,应变片,2,在力学传感器实验中，电阻应变片的核心原理是：,电阻值随温度变化而变化,电阻值随机械变形而变化,电阻值随光照强度变化而变化,电阻值随磁场强度变化而变化,B,,,电阻应变片的核心原理是电阻的应变效应，即导体的电阻值随其机械变形（拉伸或压缩）而发生变化，通过测量电阻值的变化来反映力学量的大小。,力学传感器;电阻应变片;应变效应,实验讲义PDF,,,,
qL008,fill,力学传感器及其应用,灵敏度,2,某力学传感器的灵敏度为2mV/N，当施加5N的力时，传感器的输出电压为______mV。,,,,,10,1.0,填写整数,传感器的输出电压=灵敏度×施加的力，即2mV/N×5N=10mV。,力学传感器;灵敏度;输出电压,实验讲义PDF,,,,
qL009,choice,力学传感器及其应用,电桥电路,3,在力学传感器实验中，通常采用哪种电路来测量应变片的微小电阻变化？,惠斯通电桥电路,放大电路,滤波电路,整流电路,A,,,惠斯通电桥电路可以精确测量微小的电阻变化，是应变片式力学传感器中最常用的测量电路，通过电桥平衡的变化来反映应变片的电阻变化，从而测量力学量。,力学传感器;惠斯通电桥;电阻测量,实验讲义PDF,,,,
qL010,fill,力学传感器及其应用,非电量电测,1,力学传感器实现了______的转换，将难以直接测量的力学量转换为容易测量的电信号。,,,,,非电量到电量,1.0,填写转换类型,力学传感器的核心是实现非电量到电量的转换，将力、位移、加速度等非电量的力学量，转换为电压、电流等可测量的电信号，实现精确测量。,力学传感器;非电量电测;信号转换,实验讲义PDF,,,,
qH006,choice,光学全息实验,全息原理,1,光学全息照相的核心原理是：,光的干涉和衍射,光的反射和折射,光的偏振和色散,光的直线传播,A,,,光学全息照相的核心原理是光的干涉和衍射，通过干涉的方法记录物光波的振幅和相位信息，再通过衍射的方法再现物光波，形成全息像。,光学全息;全息原理;光的干涉;光的衍射,实验讲义PDF,,,,
qH007,choice,光学全息实验,全息记录,2,在光学全息记录过程中，需要用到的两束相干光是：,物光和参考光,入射光和反射光,透射光和衍射光,线偏振光和圆偏振光,A,,,全息记录过程中，需要将激光器发出的相干光分为两束，一束照射到被摄物体上，经物体反射后成为物光；另一束直接照射到全息干板上，成为参考光。物光和参考光在全息干板上发生干涉，形成干涉条纹，记录下物光的全部信息。,光学全息;全息记录;物光;参考光,实验讲义PDF,,,,
qH008,fill,光学全息实验,全息再现,2,在光学全息再现过程中，用与记录时的______相同的光束照射全息图，就可以再现出物体的三维像。,,,,,参考光,1.0,填写光束名称,全息再现的原理是光的衍射，当用与记录时的参考光相同的光束照射全息图时，全息图上的干涉条纹会像光栅一样发生衍射，其中一级衍射光会再现出与原物光完全相同的光波，从而形成物体的三维虚像。,光学全息;全息再现;参考光;衍射,实验讲义PDF,,,,
qH009,choice,光学全息实验,全息特点,3,下列关于光学全息照相的特点，说法错误的是：,可以记录物体的三维信息，再现出立体像,全息图的一部分可以再现出整个物体的像,全息照相和普通照相一样，只记录了物光的振幅信息,全息照相可以同时记录多个物体的像,C,,,普通照相只记录了物光的振幅信息，而全息照相同时记录了物光的振幅和相位信息，这是全息照相和普通照相的核心区别。其他选项均为全息照相的正确特点。,光学全息;全息特点;振幅;相位,实验讲义PDF,,,,
